2026-03-09 06:40:46,583 [INFO] Login...
2026-03-09 06:41:23,092 [WARNING] FAIL 2026-02-28 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,095 [WARNING] FAIL 2026-03-01 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,098 [WARNING] FAIL 2026-03-01 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,098 [WARNING] FAIL 2026-03-01 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,105 [WARNING] FAIL 2026-03-02 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,107 [WARNING] FAIL 2026-03-02 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,108 [WARNING] FAIL 2026-03-02 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,113 [WARNING] FAIL 2026-03-03 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,115 [WARNING] FAIL 2026-03-03 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,120 [WARNING] FAIL 2026-03-03 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,122 [WARNING] FAIL 2026-03-04 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,126 [WARNING] FAIL 2026-03-04 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,129 [WARNING] FAIL 2026-03-04 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,131 [WARNING] FAIL 2026-03-05 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,136 [WARNING] FAIL 2026-03-05 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,136 [WARNING] FAIL 2026-03-05 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,143 [WARNING] FAIL 2026-03-06 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,145 [WARNING] FAIL 2026-03-06 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,150 [WARNING] FAIL 2026-03-06 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,152 [WARNING] FAIL 2026-03-07 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,156 [WARNING] FAIL 2026-03-07 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,157 [WARNING] FAIL 2026-03-07 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,162 [WARNING] FAIL 2026-03-08 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,164 [WARNING] FAIL 2026-03-08 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,169 [WARNING] FAIL 2026-03-08 attempt 3: Page.goto: Target page, context or browser has been closed
